үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
595.0,"Хан-Уул, King Tower",Паркет,1,2021.0,0,Вакум,16.0,Төмөр,137.0,5.0,1,3.0,1
682.462,"Баянгол, Баруун 4 зам",Паркет,1,2024.0,0,Вакум,18.0,Бүргэд,101.86,12.0,1,4.0,1
456.0,"Баянзүрх, Чингис зочид буудал",Паркет,1,2024.0,0,Вакум,25.0,Төмөр,79.0,22.0,0,4.0,1
120.0,"Хан-Уул, Viva city",Паркет,0,2012.0,0,Төмөр вакум,5.0,Бүргэд,41.6,3.0,1,3.0,1
677.0,"Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2024.0,0,Вакум,15.0,Бүргэд,127.0,6.0,1,6.0,1
256.0,"Хан-Уул, 19-р хороолол",Паркет,1,2023.0,0,Вакум,16.0,Бүргэд,64.0,8.0,0,2.0,1
167.44000000000003,"Сонгинохайрхан, Сонгинохайрхан, Хороо 29",Паркет,2,2016.0,1,Вакум,16.0,Бүргэд,64.4,8.0,0,4.0,1
137.0,"Хан-Уул, Хан-Уул, Хороо 3",Паркет,1,2019.0,0,Вакум,14.0,Бүргэд,45.6,11.0,0,2.0,1
271.92,"Хан-Уул, Яармаг",Паркет,3,2021.0,0,Вакум,12.0,Төмөр вакум,123.6,5.0,1,6.0,1
143.0,"Баянзүрх, 16-р хороолол",Паркет,0,2024.0,0,Вакум,16.0,Бүргэд,49.0,2.0,0,2.0,1
106.0,"Баянзүрх, Баянзүрх, Хороо 14",Паркет,1,2014.0,0,Вакум,14.0,Бүргэд,40.0,13.0,1,1.0,1
625.0,"Хан-Уул, Хүннү",Паркет,2,2024.0,0,Вакум,23.0,Бүргэд,96.0,8.0,1,5.0,1
143.0,"Баянзүрх, Амгалан",Паркет,1,2021.0,0,Вакум,12.0,Төмөр,52.38,8.0,0,2.0,1
571.1999999999999,Сүхбаатар,Ламинат,3,2001.0,0,Вакум,7.0,Вакум,204.0,7.0,1,8.0,1
370.0,"Хан-Уул, Хан-Уул, Хороо 1",Паркет,1,2007.0,1,Вакум,12.0,Бүргэд,90.0,9.0,0,3.0,1
358.0,"Хан-Уул, Яармаг",Ламинат,2,2023.0,0,Вакум,16.0,Төмөр вакум,90.9,4.0,0,6.0,1
210.0,"Баянзүрх, Офицер",Паркет,2,2019.0,0,Вакум,12.0,Төмөр,73.45,7.0,0,3.0,1
128.0,"Сонгинохайрхан, Москва хороолол",Паркет,1,2008.0,0,Вакум,9.0,Төмөр,41.57,5.0,0,3.0,1
680.0,"Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Паркет,1,2019.0,1,Вакум,15.0,Бүргэд,124.3,7.0,1,5.0,1
215.0,"Баянзүрх, Баянзүрх, Хороо 18",Паркет,2,2011.0,0,Вакум,5.0,Бүргэд,66.5,5.0,0,3.0,1
170.0,"Баянгол, Нарны хороолол",Паркет,1,2013.0,0,Вакум,12.0,Бүргэд,39.55,2.0,0,1.0,1
665.0,"Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2020.0,1,Вакум,15.0,Бүргэд,130.343,13.0,1,5.0,1
132.0,"Баянзүрх, Зүүн 4 зам",Паркет,0,2012.0,0,Вакум,12.0,Төмөр,40.0,2.0,0,2.0,1
680.0,"Баянзүрх, Баянзүрх, Хороо 26",Паркет,2,2020.0,0,Вакум,15.0,Бүргэд,124.3,7.0,1,8.0,1
370.0,"Баянзүрх, Баянзүрх, Хороо 1",Ламинат,2,2009.0,1,Модон вакум,9.0,Төмөр,103.0,9.0,0,6.0,1
