үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
1400000000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2014,Байхгүй,Вакум,8,Төмөр,236.0 м²,13,Банкны лизингтэй,8,Ашиглалтад орсон
192000000.00,"УБ — Баянгол, Баянгол, Хороо 1",Паркет,Тагтгүй,2017,Байхгүй,Вакум,5,Бүргэд,60.0 м²,5,Лизинггүй,3,Ашиглалтад орсон
98000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 14",Паркет,1 тагттай,2019,Байхгүй,Вакум,12,Бүргэд,33.42 м²,1,Банкны лизингтэй,1,Ашиглалтад орсон
1300000000.00,"УБ — Хан-Уул, Зайсан",Мод,1 тагттай,2015,Байгаа,Вакум,6,Бүргэд,234.0 м²,2,Лизинггүй,5,Ашиглалтад орсон
160000000.00,"УБ — Сонгинохайрхан, Найрамдал",,,,,,,,199 м²,,Лизинггүй,,Ашиглалтад орсон
339000000.00,"УБ — Сүхбаатар, Ар хустай",,,,,,,,135 м²,,Лизинггүй,,Ашиглалтад орсон
1500000000.00,"УБ — Хан-Уул, River Garden",Паркет,1 тагттай,2022,Байгаа,Вакум,16,Бүргэд,166.0 м²,12,Банкны лизингтэй,5,Ашиглалтад орсон
4000000.00,"УБ — Баянзүрх, Сансар",Ламинат,1 тагттай,2023,Байгаа,Вакум,15,Бүргэд,83.26 м²,11,Лизинггүй,4,Ашиглалтад орсон
230000000.00,"УБ — Баянзүрх, 15-р хороолол",,,,,,,,255 м²,,Банкны лизингтэй,,Ашиглалтад орсон
110000000.00,"УБ — Хан-Уул, Нисэх",,,,,,,,600 м²,,Лизинггүй,,
168000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 17",Паркет,1 тагттай,2020,Байхгүй,Вакум,13,Бүргэд,48.12 м²,7,Лизинггүй,3,Ашиглалтад орсон
4000000.00,"УБ — Сүхбаатар, Дарь Эх",Ламинат,1 тагттай,2023,Байгаа,Вакум,15,Бүргэд,63.69 м²,5,Лизинггүй,2,Ашиглалтад орсон
92000000.00,"УБ — Хан-Уул, Яармаг",,,,,,,,48 м²,,Лизинггүй,,Ашиглалтад орсон
3400000000.00,"УБ — Хан-Уул, 19-р хороолол",,,,,,,,298 м²,,Лизинггүй,,Ашиглалтад орсон
580000000.00,"УБ — Чингэлтэй, 40 мянгат",Паркет,1 тагттай,2015,Байхгүй,Мод,13,Бүргэд,89.0 м²,10,Лизинггүй,4,Ашиглалтад орсон
380000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 18",,,,,,,,250 м² м²,,Лизинггүй,,Ашиглалтад орсон
1100000000.00,"УБ — Налайх, Налайх, Хороо 1",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
227000000.00,"УБ — Сүхбаатар, Дөлгөөн нуур",Паркет,2 тагттай,2024,Байхгүй,Вакум,16,Мод,63.05 м²,16,Банкны лизингтэй,3,Ашиглалтад орсон
580000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",,,,,,,,105 м²,,Банкны лизингтэй,,Ашиглалтад орсон
209000000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,65.67 м²,1,Банкны лизингтэй,2,Ашиглалтад орсон
85000000.00,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 7",,,,,,,,252 м²,,Банкны лизингтэй,,
27000000000.00,"УБ — Сүхбаатар, МУБИС",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
100000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 4",,,,,,,,700 м²,,Лизинггүй,,
130000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,Тагтгүй,2013,Байхгүй,Вакум,12,Бүргэд,43.1 м²,4,Лизинггүй,2,Ашиглалтад орсон
2500000000.00,"УБ — Баянзүрх, Нарантуул зах",,,,,,,,,,Лизинггүй,,
88180286.00,"УБ — Сонгинохайрхан, Ханын материал",,,,,,,,56 м²,,Банкны лизингтэй,,
1000000.00,УБ — Сүхбаатар,,,,,,,,6 м²,,Лизинггүй,,Ашиглалтад ороогүй
59000000.00,"УБ — Баянгол, 3, 4 хороолол",,,,,,,,54 м²,,Лизинггүй,,Ашиглалтад орсон
2800000000.00,"УБ — Баянгол, 3, 4 хороолол",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
33000000.00,"УБ — Баянгол, Нарны хороолол",,,,,,,,15 м²,,Лизинггүй,,Ашиглалтад орсон
12000000.00,УБ — Баянзүрх,,,,,,,,,,Лизинггүй,,
120000000.00,"УБ — Баянгол, 3, 4 хороолол",Паркет,1 тагттай,1992,Байхгүй,Вакум,9,Вакум,40.0 м²,1,Лизинггүй,3,Ашиглалтад орсон
700000000.00,"УБ — Баянзүрх, Ботаник",,,,,,,,,,Банкны лизингтэй,,Ашиглалтад орсон
27000000000.00,"УБ — Баянзүрх, Бөхийн Өргөө",,,,,,,,,,Банкны лизингтэй,,Ашиглалтад орсон
3900000.00,"УБ — Хан-Уул, King Tower",Паркет,Тагтгүй,2019,Байхгүй,Вакум,16,Бүргэд,121.0 м²,3,Лизинггүй,3,Ашиглалтад орсон
30000000.00,"УБ — Хан-Уул, 19-р хороолол",,,,,,,,0 м²,,Лизинггүй,,Ашиглалтад орсон
7000000.00,"УБ — Хан-Уул, Зайсан",,,,,,,,67 м²,,Хувь лизингтэй,,Ашиглалтад орсон
2600000000.00,"УБ — Баянгол, 6-р бичил",,,,,,,,,,Банкны лизингтэй,,Ашиглалтад орсон
350000000.00,"Сэлэнгэ, Сэлэнгэ",,,,,,,,116 м²,,Лизинггүй,,Ашиглалтад орсон
1562500.00,"УБ — Баянгол, 3, 4 хороолол",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
850000000.00,УБ — Сүхбаатар,,,,,,,,,,Лизинггүй,,
1300000000.00,"УБ — Баянгол, Баянгол, Хороо 20",,,,,,,,,,Лизинггүй,,
5100000.00,"УБ — Сүхбаатар, Цирк",,,,,,,,156 м²,,Лизинггүй,,Ашиглалтад орсон
400000000.00,"УБ — Чингэлтэй, Хайлааст",,,,,,,,,,Банкны лизингтэй,,Ашиглалтад орсон
1500000000.00,"УБ — Хан-Уул, River Garden",Паркет,1 тагттай,2023,Байгаа,Вакум,14,Бүргэд,166.0 м²,1,Банкны лизингтэй,6,Ашиглалтад орсон
127000000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 15",Паркет,1 тагттай,2022,Байхгүй,Вакум,5,Бүргэд,69.13 м²,5,Хувь лизингтэй,3,Ашиглалтад орсон
385000000.00,"УБ — Хан-Уул, Нархан хотхон",Паркет,Тагтгүй,2024,Байхгүй,Вакум,16,Бүргэд,70.0 м²,3,Лизинггүй,4,Ашиглалтад орсон
350000000.00,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 5",,,,,,,,,,Лизинггүй,,
110000000.00,"УБ — Сонгинохайрхан, 21-р хороолол",Паркет,1 тагттай,2014,Байхгүй,Вакум,16,Бүргэд,35.64 м²,8,Лизинггүй,2,Ашиглалтад орсон
