,үнэ,хаяг,Тагт:,Гараж:,Барилгын давхар:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Нас,Цонх:_Бусад,Цонх:_Вакум,Дүүрэг_Баянгол,Дүүрэг_Баянзүрх,Дүүрэг_Налайх,Дүүрэг_Сонгинохайрхан,Дүүрэг_Сүхбаатар,Дүүрэг_Хан-Уул,Дүүрэг_Чингэлтэй,Хаалга:_Бусад,Хаалга:_Бүргэд,Хаалга:_Төмөр,Шал:_Бусад,Шал:_Паркет
499,187.0,Яармаг,1,0,16.0,55.0,5.0,0,2.0,1,0.0,True,False,False,False,False,False,False,True,False,False,True,False,False,True
500,257.334,Нисэх,1,0,11.0,77.98,11.0,1,3.0,1,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
501,360.0,Хан-Уул,2,1,8.0,124.4,2.0,1,4.0,1,11.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
502,90.0,Баянзүрх,1,0,16.0,30.46,16.0,0,2.0,1,5.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
503,352.0,Яармаг,2,0,16.0,113.0,2.0,0,4.0,1,0.0,False,True,False,False,False,False,False,True,False,False,False,True,False,True
504,154.0,100 айл,1,0,12.0,57.0,9.0,0,3.0,1,8.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
505,130.0,Сүхбаатар,1,0,16.0,34.0,16.0,0,2.0,1,12.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
506,230.0,13-р хороолол,1,0,9.0,80.0,5.0,0,3.0,1,14.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
507,140.0,1-р хороолол,1,0,9.0,55.0,6.0,1,4.0,1,35.0,False,True,False,False,False,True,False,False,False,False,True,False,False,True
508,259.0,Зайсан,1,0,12.0,45.1,7.0,0,3.0,1,2.0,False,True,False,False,False,False,False,True,False,False,False,True,False,True
509,280.0,Хурд,1,0,9.0,66.6,6.0,0,4.0,1,10.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
510,415.0,Баянзүрх,2,0,16.0,98.6,12.0,1,3.0,1,4.0,False,True,False,True,False,False,False,False,False,False,False,True,False,True
511,470.0,11-р хороолол,1,1,9.0,82.0,7.0,0,4.0,1,14.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
512,69.0,Амгалан,1,0,12.0,36.31,5.0,0,2.0,0,0.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
513,234.01,Баянзүрх,1,0,15.0,66.86,8.0,0,3.0,1,9.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
514,123.0,10-р хороолол,1,0,6.0,45.0,6.0,0,3.0,1,15.0,False,True,True,False,False,False,False,False,False,False,True,False,False,True
515,235.0,Баянгол,1,0,16.0,63.0,14.0,0,4.0,1,2.0,False,True,True,False,False,False,False,False,False,False,True,False,False,True
516,120.0,14-р хороолол,1,0,12.0,38.0,8.0,0,2.0,1,9.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
517,75.0,Улаанхуаран,1,0,5.0,26.0,6.0,1,2.0,1,15.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
518,530.0,Чингэлтэй,1,1,12.0,104.0,11.0,0,4.0,1,6.0,False,True,False,False,False,False,False,False,True,False,True,False,False,True
519,133.0,Өгөөмөр захын зүүн,1,0,12.0,43.1,9.0,0,2.0,1,6.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
