үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:
66000000.00,"УБ — Сонгинохайрхан, Баянхошуу",Паркет,1 тагттай,2010,Байхгүй,Вакум,5,Бүргэд,30.0 м²,2,Лизинггүй,1,Ашиглалтад орсон,
85000000.00,"УБ — Сүхбаатар, 5-р хороолол",Паркет,1 тагттай,2015,Байхгүй,Вакум,6,Бүргэд,34.7 м²,1,Банкны лизингтэй,2,Ашиглалтад орсон,
208000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 36",Паркет,1 тагттай,2015,Байгаа,Вакум,12,Бүргэд,41.0 м²,12,Банкны лизингтэй,2,Ашиглалтад орсон,
175000000.00,"УБ — Баянзүрх, 14-р хороолол",Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,56.57 м²,5,Лизинггүй,3,Ашиглалтад орсон,
59000000.00,"УБ — Сонгинохайрхан, 5 шар",Паркет,1 тагттай,2014,Байхгүй,Вакум,15,Бүргэд,20.5 м²,14,Лизинггүй,1,Ашиглалтад орсон,
180000000.00,"УБ — Баянзүрх, 13-р хороолол",Цемент,2 тагттай,2010,Байхгүй,Вакум,9,Төмөр,61.2 м²,4,Лизинггүй,2,Ашиглалтад орсон,
98000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 16",Паркет,1 тагттай,2022,Байхгүй,Вакум,12,Төмөр,33.0 м²,4,Лизинггүй,2,Ашиглалтад орсон,
2800000.00,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 29",Паркет,2 тагттай,2016,Байгаа,Вакум,16,Бүргэд,66.8 м²,8,Лизинггүй,4,Ашиглалтад орсон,
4500000.00,"УБ — Хан-Уул, Мишээл",Цемент,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,109.0 м²,9,Лизинггүй,5,Ашиглалтад орсон,
956000000.00,"УБ — Хан-Уул, River Garden",Паркет,2 тагттай,2023,Байхгүй,Вакум,17,Бүргэд,106.0 м²,3,Лизинггүй,3,Ашиглалтад ороогүй,
1100000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1 тагттай,2022,Байгаа,Вакум,6,Бүргэд,205.0 м²,4,Лизинггүй,4,Ашиглалтад орсон,
820000000.00,"УБ — Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Паркет,1 тагттай,2021,Байгаа,Вакум,24,Бүргэд,105.0 м²,7,Банкны лизингтэй,4,Ашиглалтад орсон,
120000000.00,"УБ — Сүхбаатар, 100 айл",Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,44.0 м²,12,Лизинггүй,2,Ашиглалтад орсон,
4000000.00,"УБ — Хан-Уул, Хүүшийн ам",Паркет,2 тагттай,2024,Байхгүй,Вакум,16,Төмөр,92.45 м²,10,Лизинггүй,6,Ашиглалтад ороогүй,
200000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,2 тагттай,2016,Байхгүй,Вакум,5,Бүргэд,87.0 м²,5,Лизинггүй,6,Ашиглалтад орсон,
200000000.00,"УБ — Хан-Уул, Нисэх",Паркет,2 тагттай,2020,Байхгүй,Вакум,14,Бүргэд,87.32 м²,8,Лизинггүй,4,Ашиглалтад орсон,
166000000.00,"УБ — Сонгинохайрхан, Ханын материал",Паркет,1 тагттай,2024,Байхгүй,Вакум,9,Бүргэд,58.0 м²,9,Лизинггүй,3,Ашиглалтад орсон,
248000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 16",Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,69.85 м²,5,Банкны лизингтэй,3,Ашиглалтад орсон,
577300000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2023,Байгаа,Вакум,12,Төмөр,134.26 м²,12,Банкны лизингтэй,5,Ашиглалтад орсон,
