үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
455.125,"УБ — Хан-Уул, Хан-Уул, Хороо 18",Паркет,1,2023,0,Вакум,17,Бүргэд,80.0,5,1,2,1
99.98910000000001,"УБ — Хан-Уул, Нисэх",Паркет,1,2024,0,Вакум,10,Бүргэд,38.31,10,0,2,1
170.88,"УБ — Баянзүрх, Улаанхуаран",Паркет,1,2015,1,Вакум,12,Бүргэд,54.0,9,0,3,1
120.0,"УБ — Баянзүрх, Баянзүрх, Хороо 13",Паркет,1,2013,0,Вакум,12,Бүргэд,37.0,6,1,2,1
800.0,УБ — Сүхбаатар,Паркет,2,2024,1,Вакум,23,Бүргэд,135.0,20,1,8,1
380.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 5",Ламинат,2,2005,0,Вакум,5,Төмөр,96.0,5,0,6,1
340.0,"УБ — Баянзүрх, 13-р хороолол",Паркет,2,2010,0,Вакум,12,Бүргэд,100.8,11,0,4,1
220.0,"УБ — Чингэлтэй, 40 мянгат",Паркет,1,1980,0,Вакум,4,Бүргэд,35.0,2,0,2,1
492.0,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,0,2024,1,Вакум,16,Бүргэд,82.0,5,0,4,1
156.0,"УБ — Баянзүрх, Баянзүрх, Хороо 6",Паркет,1,2009,0,Вакум,5,Бүргэд,48.5,3,0,2,1
315.0,"УБ — Баянгол, Нарны хороолол",Паркет,1,2014,1,Вакум,12,Бүргэд,84.0,4,0,3,1
170.0,"УБ — Баянзүрх, 13-р хороолол",Паркет,1,2001,0,Вакум,10,Бүргэд,29.0,9,0,3,1
800.0,"УБ — Хан-Уул, Хан-Уул, Хороо 18",Паркет,2,2024,1,Вакум,23,Бүргэд,135.0,20,1,6,1
75.0,"УБ — Хан-Уул, Нисэх",Паркет,1,2024,0,Вакум,16,Төмөр,40.0,2,0,1,0
255.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 7",Паркет,1,1989,0,Вакум,9,Бүргэд,71.0,8,0,4,1
396.0,"УБ — Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Паркет,0,2015,1,Төмөр вакум,13,Бүргэд,100.0,12,0,7,1
248.04,"УБ — Хан-Уул, Яармаг",Паркет,2,2024,1,Вакум,16,Төмөр,95.4,14,0,8,1
