үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:,Код:,location:
80000000.00,"УБ — Сонгинохайрхан, 21-р хороолол",Паркет,1 тагттай,2012,Байхгүй,Вакум,13,Бүргэд,30.0 м²,10,Лизинггүй,2,Ашиглалтад орсон,,,
761328000.00,"УБ — Хан-Уул, Хүннү",Паркет,3+ тагттай,2022,Байхгүй,Вакум,10,Бүргэд,158.61 м²,6,Лизинггүй,7,Ашиглалтад орсон,,,
70000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 2",Паркет,1 тагттай,2016,Байхгүй,Вакум,5,Бүргэд,23.0 м²,4,Лизинггүй,1,Ашиглалтад орсон,,,
320000000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2017,Байгаа,Вакум,10,Бүргэд,106.5 м²,4,Лизинггүй,6,Ашиглалтад орсон,,,
350000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 25",Паркет,1 тагттай,2015,Байхгүй,Вакум,16,Бүргэд,74.0 м²,4,Банкны лизингтэй,4,Ашиглалтад орсон,,,
210000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,2 тагттай,2010,Байгаа,Вакум,6,Бүргэд,105.0 м²,4,Лизинггүй,4,Ашиглалтад орсон,,,
235000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2019,Байхгүй,Вакум,12,Бүргэд,56.0 м²,10,Лизинггүй,3,Ашиглалтад орсон,,,
5900000.00,"УБ — Баянзүрх, 14-р хороолол",Паркет,2 тагттай,2024,Байхгүй,Вакум,22,Төмөр,134.0 м²,20,Банкны лизингтэй,6,Ашиглалтад орсон,,,
7000000.00,"УБ — Хан-Уул, Зайсан",Паркет,3+ тагттай,2014,Байгаа,Төмөр вакум,19,Бүргэд,300.0 м²,18,Банкны лизингтэй,8,Ашиглалтад орсон,,,
2900000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2014,Байхгүй,Вакум,6,Бүргэд,148.0 м²,2,Банкны лизингтэй,5,Ашиглалтад орсон,,,
209786000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 43",Паркет,1 тагттай,2014,Байхгүй,Вакум,9,Бүргэд,72.34 м²,9,Банкны лизингтэй,3,Ашиглалтад орсон,,,
5500000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1 тагттай,2023,Байгаа,Вакум,17,Бүргэд,102.0 м²,3,Банкны лизингтэй,5,Ашиглалтад орсон,,,
289000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2024,Байхгүй,Вакум,10,Бүргэд,72.28 м²,7,Лизинггүй,2,Ашиглалтад орсон,,,
140500000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2016,Байхгүй,Вакум,16,Бүргэд,57.51 м²,9,Лизинггүй,4,Ашиглалтад орсон,,,
80000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2013,Байхгүй,Вакум,6,Бүргэд,24.0 м²,1,Лизинггүй,2,Ашиглалтад орсон,,,
611000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,Тагтгүй,2019,Байхгүй,Модон вакум,17,Төмөр вакум,82.0 м²,13,Лизинггүй,3,Ашиглалтад орсон,,,
100000000.00,"УБ — Сонгинохайрхан, 1-р хороолол",Паркет,Тагтгүй,2014,Байхгүй,Вакум,12,Бүргэд,34.0 м²,9,Банкны лизингтэй,1,Ашиглалтад орсон,,,
577300000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2023,Байгаа,Вакум,12,Төмөр,134.26 м²,12,Банкны лизингтэй,5,Ашиглалтад орсон,,,
4950000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,100.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,,,
3900000.00,"УБ — Хан-Уул, King Tower",Паркет,Тагтгүй,2019,Байхгүй,Вакум,16,Бүргэд,121.0 м²,3,Лизинггүй,3,Ашиглалтад орсон,,,
2700000.00,"УБ — Сонгинохайрхан, 21-р хороолол",Паркет,1 тагттай,2017,Байхгүй,Вакум,15,Бүргэд,47.8 м²,15,Банкны лизингтэй,2,Ашиглалтад орсон,,,
525000000.00,УБ — Сүхбаатар,Плита,3+ тагттай,2015,Байгаа,Вакум,9,Бүргэд,175.0 м²,9,Банкны лизингтэй,8,Ашиглалтад орсон,,,
7300000.00,"УБ — Хан-Уул, Хурд",Паркет,2 тагттай,2024,Байгаа,Вакум,22,Бүргэд,161.64 м²,18,Лизинггүй,5,Ашиглалтад орсон,,,
160000000.00,"УБ — Сонгинохайрхан, 5 шар",Паркет,1 тагттай,2015,Байхгүй,Вакум,9,Бүргэд,53.94 м²,7,Банкны лизингтэй,3,Ашиглалтад орсон,,,
